Time,xPos,yPos,zPos,xVel,yVel,zVel,pitch,roll,yaw,pitchVel,rollVel,yawVel,elevAngle,elevTime
3.258664846,-8.184347318,0.317137962,1.483558904,1.554383455,0.099258403,-0.268693289,0.154710949,-0.078204377,-1.490352238,-0.144859271,-0.066969304,0.066544138,-17.29761103,3.500907898
3.266858816,-8.170344771,0.318031265,1.481462282,1.680305581,0.107196399,-0.251594585,0.154755507,-0.078745775,-1.489721633,0.005346891,-0.064967827,0.075672565,-13.39525838,3.509118795
3.275177002,-8.15494905,0.318831919,1.479561065,1.847486617,0.096078445,-0.228146087,0.155256066,-0.079534472,-1.489825894,0.060067093,-0.094643646,-0.012511311,-19,3.517501831
3.283303022,-8.137897732,0.319531714,1.477927904,2.046158129,0.083975381,-0.195979295,0.156196271,-0.080859514,-1.490570684,0.112824578,-0.15900498,-0.089374732,-19,3.525560856
3.291790009,-8.118920115,0.320191649,1.47669299,2.277313979,0.07919221,-0.148189745,0.158389065,-0.082432734,-1.491968235,0.263135266,-0.188786453,-0.16770613,-13.90789188,3.534159899
3.300340891,-8.097690501,0.320822787,1.475906072,2.547553714,0.075736587,-0.094430126,0.161297268,-0.084449289,-1.494188286,0.348984367,-0.241986597,-0.266406185,-17.86890496,3.542861938
3.308945894,-8.073849894,0.321475515,1.475761826,2.860872876,0.078327324,-0.017309503,0.165585215,-0.085884794,-1.497115698,0.51455373,-0.172260551,-0.351289445,-18.21427163,3.551081896
3.316962957,-8.047074555,0.322225808,1.476174954,3.213040631,0.090035157,0.049575322,0.1713423,-0.087424992,-1.500783427,0.690850088,-0.18482372,-0.440127493,19,3.559072018
3.325450897,-8.017071703,0.32305375,1.477123329,3.600342304,0.09935303,0.113805056,0.179609564,-0.087980223,-1.504819501,0.992071749,-0.066627818,-0.484328804,-19,3.568012953
3.333809853,-7.983547952,0.323896263,1.478526481,4.022850105,0.101101538,0.168378275,0.190344818,-0.087423565,-1.509125615,1.288230471,0.066798953,-0.516733743,-19,3.576026917
3.341621876,-7.94653449,0.324735896,1.480052782,4.441615464,0.10075597,0.183156064,0.205709496,-0.086144135,-1.514026183,1.8437614,0.153531648,-0.588068082,-19,3.584403992
3.350729942,-7.905835342,0.326081403,1.481554943,4.883897676,0.161460907,0.180259325,0.213597694,-0.082928737,-1.522178775,0.946583688,0.385847732,-0.978311097,-19,3.592417955
3.358748913,-7.864268755,0.326665604,1.482836297,4.987990435,0.070104067,0.153762511,0.237831534,-0.078948074,-1.526266996,2.908060793,0.477679632,-0.490586536,-17.39162579,3.600684881
3.366817951,-7.82177351,0.326812951,1.484023192,5.099429501,0.017681731,0.142427318,0.260279476,-0.07428256,-1.529768815,2.693753062,0.559861617,-0.420218232,-11.15086266,3.6105268
3.375433922,-7.778930701,0.326770449,1.485347095,5.141136982,-0.005100301,0.158868452,0.278478714,-0.068770098,-1.535119598,2.18390862,0.66149548,-0.642093923,-11.18795911,3.618743896
3.38379097,-7.735774715,0.326810809,1.486858151,5.178718361,0.004843157,0.181326703,0.295923379,-0.064634396,-1.539453059,2.093359753,0.496284263,-0.520015409,-16.03094766,3.626070023
3.392081976,-7.692209675,0.327126992,1.488640173,5.227804837,0.037941961,0.213842673,0.31344154,-0.06265789,-1.542906829,2.102179354,0.237180636,-0.414452376,-16.63167557,3.634235859
3.400296926,-7.648284157,0.327411532,1.490681928,5.27106214,0.034144817,0.245010554,0.330859179,-0.06226683,-1.54670311,2.090116636,0.0469273,-0.45555366,-6.457925827,3.642468929
3.408754826,-7.604322752,0.327580019,1.493192124,5.275368568,0.020218489,0.3012235,0.347462167,-0.060284233,-1.550358963,1.992358596,0.237911544,-0.438702459,19,3.652210951
3.417107821,-7.560425709,0.32768264,1.496071165,5.267645143,0.012314533,0.345484972,0.360202838,-0.056727287,-1.553532351,1.528880495,0.426833567,-0.380806466,-1.472934659,3.660003901
3.42533493,-7.516642512,0.327742006,1.499180424,5.253983698,0.007123907,0.373111028,0.367048756,-0.05323807,-1.556635143,0.821510154,0.41870598,-0.372335041,-3.404016152,3.668339014
3.433380842,-7.47290438,0.327822089,1.502457993,5.248575816,0.009609946,0.393308336,0.367810132,-0.050960398,-1.559643271,0.091365097,0.273320687,-0.360975408,-19,3.676030874
3.442143917,-7.429058672,0.327941702,1.505895446,5.261484944,0.014353579,0.412494345,0.365670413,-0.049974521,-1.562192861,-0.25676626,0.118305299,-0.305950765,-19,3.684359789
3.450361013,-7.385170025,0.328186927,1.509587985,5.266637694,0.02942698,0.443104599,0.362481569,-0.048231009,-1.564191305,-0.382661238,0.209221408,-0.239813282,-3.238894782,3.69303298
3.45873785,-7.341118588,0.328364697,1.513660687,5.286172412,0.021332444,0.48872423,0.359744337,-0.044968585,-1.566219836,-0.328467889,0.391490822,-0.243423806,-3.470421783,3.702315807
3.466561794,-7.296869908,0.328545192,1.517961359,5.309841565,0.021659326,0.51608069,0.356206549,-0.040936937,-1.568405875,-0.424534504,0.48379775,-0.262324673,-3.802209508,3.709116936
3.475064993,-7.25237649,0.328773942,1.522308843,5.339210174,0.027449982,0.521698134,0.350902527,-0.038389857,-1.570806959,-0.636482652,0.305649648,-0.288130069,-3.281082743,3.717868805
3.484027863,-7.207798074,0.329046358,1.526664833,5.349409959,0.032689971,0.522718794,0.343119931,-0.037094808,-1.572926257,-0.93391155,0.155405829,-0.254315714,-19,3.725371838
3.491983891,-7.163253774,0.329277364,1.531004167,5.345315933,0.027720752,0.520720094,0.332148817,-0.035980163,-1.574975359,-1.316533669,0.1337574,-0.245892219,-7.107358339,3.734190941
3.50046587,-7.11885907,0.329444586,1.535347159,5.327364489,0.020066607,0.521158936,0.317248349,-0.034117753,-1.576646983,-1.788056115,0.223489212,-0.200594939,-6.467199121,3.741971016
3.508769989,-7.073903603,0.329663439,1.539905062,5.394656071,0.026262329,0.546948371,0.305971328,-0.03202268,-1.580303599,-1.353242539,0.251408818,-0.438793944,-6.596753335,3.769754887
3.516826868,-7.029292212,0.329851171,1.544185114,5.353366965,0.022527883,0.513606339,0.288888606,-0.030182656,-1.582111891,-2.049926652,0.220802827,-0.216994929,-12.15434266,3.769984007
3.525124788,-6.984483652,0.330030831,1.548331314,5.377027146,0.021559184,0.497543913,0.27231086,-0.029142758,-1.583704337,-1.989329563,0.124787747,-0.191093558,-6.04691018,3.775432825
3.533720016,-6.93764024,0.31285351,1.548385756,5.621209479,-2.061278527,0.006533012,0.261050855,0.011476013,1.505282263,-1.351200574,4.874252524,370.678392,-5.539618806,3.78391695
3.542299986,-6.892714603,0.31343517,1.552049852,5.391076361,0.069799164,0.439691572,0.248261754,0.010688885,1.508518464,-1.53469213,-0.094455296,0.388344143,-4.709812397,3.792201996
3.550719976,-6.847728909,0.3144149,1.555298338,5.398283356,0.11756761,0.389818346,0.23556715,0.011761479,1.512682621,-1.523352418,0.128711208,0.499698826,-5.593269282,3.800571918
3.558833838,-6.800174895,0.310797077,1.581425563,5.706481599,-0.434138779,3.135266972,0.273882285,-0.124751695,1.579994121,4.597816144,-16.38158083,8.077380017,-2.068820304,3.809518814
3.567305803,-6.755049279,0.311024602,1.58473418,5.415073959,0.027302986,0.397034049,0.258310803,-0.126296576,1.581643932,-1.868577841,-0.185385776,0.197977318,-5.1839321,3.817202806
3.575589895,-6.710065487,0.311252462,1.587775107,5.398055082,0.027343317,0.364911253,0.242442277,-0.125790711,1.582641859,-1.904223089,0.060703853,0.119751232,19,3.825847864
3.58396697,-6.66536328,0.335370556,1.592029339,5.364264871,2.894171201,0.510507858,0.172059402,-0.015255341,-1.590594763,-8.44594501,13.26424438,-380.7883946,3.172932304,3.834738016
3.591993809,-6.620076364,0.335443518,1.594409644,5.434429864,0.00875542,0.285636596,0.158752856,-0.014400681,-1.592077054,-1.596785578,0.102559273,-0.177874948,2.700145429,3.84294796
3.600363016,-6.574904307,0.335405417,1.596750147,5.420646892,-0.00457209,0.280860339,0.149786171,-0.013468921,-1.594565352,-1.076002118,0.111811146,-0.298595716,3.802153533,3.851146936
3.610199928,-6.530562368,0.342442614,1.571219919,5.321032584,0.844463669,-3.063627409,0.13663124,-0.053121766,-1.601087339,-1.578591721,-4.758341445,-0.782638531,4.056601454,3.858703852
3.617950916,-6.484854667,0.342180819,1.572829734,5.484924176,-0.031415399,0.19317785,0.132991951,-0.044562872,-1.608254515,-0.436714763,1.027067331,-0.860061101,19,3.868499994
3.625630856,-6.439037362,0.342520019,1.57328831,5.49807656,0.040703943,0.055029138,0.125509437,-0.059714828,-1.609436935,-0.897901654,-1.818234757,-0.141890322,-19,3.876111984
3.633791924,-6.393065263,0.343100344,1.573272585,5.516651874,0.069639043,-0.001887002,0.117734117,-0.062529888,-1.611354683,-0.933038329,-0.337807158,-0.230129747,0.874441496,3.884217024
3.642126799,-6.34746167,0.341273446,1.575114194,5.47243117,-0.219227707,0.220993045,0.118407095,-0.025597814,-1.622929237,0.08075731,4.43184886,-1.388946521,-3.353307221,3.892133951
3.65138483,-6.306751542,0.32232091,1.593622708,4.885215367,-2.274304351,2.221021701,0.273434688,-0.143881539,1.574560791,18.60331118,-14.19404695,383.6988034,0.748432027,3.900656939
3.659565926,-6.260873007,0.321767444,1.592968856,5.505424199,-0.066415897,-0.078462242,0.271072228,-0.145622477,1.577368595,-0.283495239,-0.208912562,0.336936411,-1.450266694,3.909178019
3.667896986,-6.214848919,0.320750399,1.591680253,5.522890602,-0.122045392,-0.154632341,0.267157203,-0.145852021,1.58030921,-0.469803029,-0.027545277,0.352873847,-2.520731147,3.917881966
3.675549984,-6.162977672,0.309685745,1.597251938,6.224549584,-1.327758508,0.668602145,0.170841244,-0.155575861,1.608480791,-11.55791499,-1.166860844,3.380589682,-4.249022027,3.926107883
3.684001923,-6.120601623,0.328489798,1.57849495,5.085125867,2.256486291,-2.250838481,0.107187066,0.006661569,-1.627032083,-7.63850135,19.46849164,-388.2615449,-6.002363277,3.934304953
3.692739964,-6.074410766,0.328038482,1.57690481,5.542902884,-0.054157866,-0.190816838,0.109666409,0.010152841,-1.630040798,0.29752112,0.418952628,-0.361045804,-6.140409634,3.942183971
3.701349974,-6.028151992,0.327493095,1.574976544,5.55105283,-0.065446433,-0.231391994,0.11178056,0.013045571,-1.632765233,0.25369807,0.347127556,-0.326932178,-10.16149776,3.978346825
3.708739996,-5.981789674,0.326948126,1.572834292,5.563478203,-0.065396297,-0.257070208,0.113514062,0.015113625,-1.635352586,0.208020214,0.248166473,-0.310482321,-19,3.978579998
3.717557907,-5.93522641,0.326365037,1.570475901,5.587591709,-0.069970657,-0.283006854,0.115535177,0.01640428,-1.638117275,0.242533813,0.154878619,-0.331762705,-15.10013983,3.98483181
3.725130796,-5.885234912,0.312276454,1.559572733,5.998979794,-1.690630001,-1.308380163,0.015313072,-0.024718273,1.594412405,-12.02665251,-4.934706405,387.9035616,-12.83659569,3.992645979
3.733929873,-5.838485035,0.311567077,1.556879277,5.609985131,-0.085125185,-0.323214772,0.018157562,-0.025953997,1.596522237,0.341338776,-0.14828677,0.25317986,-14.83720304,4.001617908
3.741724014,-5.791691215,0.310757356,1.554136806,5.61525842,-0.097166516,-0.329096493,0.021367109,-0.027308756,1.598022058,0.385145608,-0.162571153,0.179978477,-15.11596833,4.009858847
3.769403934,-5.744667224,0.309899313,1.55121506,5.642878979,-0.102965229,-0.350609502,0.024348349,-0.028185407,1.599912159,0.357748852,-0.1051981,0.226812105,-16.46933018,4.017714024
3.775179863,-5.603295968,0.306741104,1.542329389,5.65930949,-0.137718424,-0.35937159,0.034355263,-0.029627445,1.605703408,0.361968773,-0.052316896,0.172512179,-14.75921062,4.025882006
3.783608913,-5.555973322,0.30546297,1.53942876,5.678717536,-0.153376028,-0.348075447,0.037696034,-0.029881256,1.606698948,0.400892504,-0.030457247,0.119464776,-14.17950927,4.034584999
3.79189682,-5.508523079,0.304096042,1.53658011,5.694029169,-0.16403143,-0.341837962,0.041570236,-0.029526114,1.607861568,0.464904208,0.042617031,0.139514406,-14.36472271,4.042954922
3.800256014,-5.460883045,0.302688802,1.533553064,5.716804052,-0.168868794,-0.363245516,0.044615732,-0.028225065,1.609838255,0.365459505,0.156125877,0.237202462,-12.76516412,4.051947832
3.809056997,-5.413307976,0.301159838,1.530755861,5.709008292,-0.183475725,-0.335664452,0.050239984,-0.027886657,1.609926348,0.674910197,0.040608952,0.010571104,-11.16052285,4.059695005
3.816929817,-5.365500912,0.299561246,1.527986061,5.736847746,-0.191830982,-0.332375939,0.053369056,-0.027837257,1.610312449,0.375488714,0.005928036,0.046332127,-10.84165275,4.068132877
3.825564861,-5.305653922,0.324108764,1.546393219,7.181638783,2.945702194,2.208858894,0.173363564,0.028352447,-1.651750981,14.3993409,6.742764472,-391.4476116,-9.711425132,4.075922012
3.834167957,-5.258353198,0.321724379,1.54437509,5.676086797,-0.286126209,-0.242175385,0.178114216,0.027870385,-1.652574196,0.570078276,-0.057847466,-0.098785796,-9.788891454,4.085608959
3.842705011,-5.21022045,0.319934535,1.54198655,5.775929778,-0.214781284,-0.28662483,0.182324236,0.02748956,-1.652309183,0.505202436,-0.045698956,0.031801598,-8.739863533,4.092760801
3.850787878,-5.162743779,0.317464094,1.540069655,5.697200506,-0.296452954,-0.230027431,0.187253489,0.027047515,-1.652297221,0.591510388,-0.05304541,0.001435374,-6.547115136,4.101541996
3.858485937,-5.114894802,0.314936169,1.538318363,5.74187735,-0.30335101,-0.210154974,0.192287909,0.027260622,-1.652806822,0.604130377,0.025572821,-0.061152059,-6.285116729,4.109483957
3.867545843,-5.08731789,0.301495608,1.572006942,3.309229333,-1.612867271,4.042629385,0.355331868,0.093587038,-1.675723599,19.56527499,7.959169925,-2.750013269,-3.321584311,4.117563009
3.875811815,-5.032444167,0.302675384,1.544183938,6.584846848,0.141573073,-3.338760475,0.199261295,0.024548652,-1.656476288,-18.72846872,-8.284606381,2.309677381,-2.488560452,4.1263659
3.883950949,-4.983818628,0.300006823,1.542614427,5.835064601,-0.320227288,-0.188341292,0.201613338,0.024235313,-1.657496476,0.282245226,-0.037600635,-0.122422589,-0.287317179,4.135520935
3.891870022,-4.940542682,0.305989331,1.527633259,5.193113557,0.71790097,-1.797740178,0.195480692,0.025783578,-1.657979563,-0.735917571,0.185791815,-0.057970453,-0.661434346,4.142450809
3.900343895,-4.893757083,0.305077373,1.529476777,5.614271844,-0.109434994,0.221222217,0.198769093,0.028675117,-1.659467254,0.394608155,0.346984653,-0.178522904,0.305377155,4.151083946
3.90889883,-4.845050087,0.302202443,1.528583414,5.844839553,-0.344991608,-0.107203546,0.199640621,0.030247565,-1.659908871,0.104583317,0.188693762,-0.052994042,1.16532219,4.159260988
3.917037964,-4.796141388,0.299145043,1.527764208,5.869043917,-0.366887928,-0.098304819,0.199730716,0.032720453,-1.659947473,0.010811414,0.296746587,-0.004632307,0.804431929,4.168254852
3.925770998,-4.747213703,0.295807878,1.52708468,5.871322176,-0.400459877,-0.081543342,0.198574905,0.035837727,-1.659624435,-0.138697286,0.374072846,0.038764537,2.268291581,4.176533937
3.934022903,-4.698499238,0.292818143,1.526934605,5.84573579,-0.358768185,-0.01800891,0.196300885,0.039237769,-1.659261875,-0.272882476,0.40800509,0.043507274,1.384318915,4.184860945
3.94192791,-4.648765098,0.288687875,1.526008698,5.968096845,-0.495632146,-0.111108852,0.19390004,0.043031651,-1.658968697,-0.288101385,0.45526584,0.035181344,0.74849888,4.193034887
3.977918863,-4.605206404,0.292791916,1.531703297,5.227043286,0.4924849,0.683351806,0.189904784,0.046386304,-1.658564449,-0.479430721,0.402558381,0.048509815,19,4.201342821
3.97823,-4.442630017,0.263211371,1.535813208,19.50916643,-3.549665427,0.493189337,0.179541914,0.055788106,-1.65254293,-1.243544384,1.128216172,0.722582233,-19,4.209345818
3.984524965,-4.392851429,0.25928505,1.535364344,5.973430526,-0.47115847,-0.053863711,0.171277028,0.057738215,-1.651869342,-0.991786298,0.234013097,0.080830514,0.712837656,4.218160868
3.992420912,-4.342903214,0.255266691,1.534960125,5.993785796,-0.482203144,-0.048506195,0.165071874,0.060245075,-1.6508257,-0.744618517,0.300823205,0.125237124,-3.318222121,4.225750923
4.000757933,-4.292947303,0.251306117,1.534497158,5.994709315,-0.475268776,-0.055556136,0.157599452,0.063215149,-1.648195427,-0.896690636,0.356408861,0.315632765,9.036180848,4.234690905
4.009512901,-4.242774095,0.247263629,1.533783143,6.020784913,-0.485098602,-0.08568178,0.150166616,0.065175566,-1.646304159,-0.891940322,0.235250008,0.226952085,19,4.242592812
4.017318964,-4.192410422,0.243217937,1.532789198,6.04364081,-0.485483001,-0.119273384,0.141956307,0.066422086,-1.644985635,-0.985237034,0.149582459,0.158222915,-2.169908954,4.252118826
4.025516987,-4.141890947,0.239052387,1.531809522,6.062336973,-0.499866019,-0.117561125,0.135379666,0.067990055,-1.644288785,-0.789196991,0.188156244,0.083621964,-5.227616843,4.260030985
4.034263849,-4.091758798,0.234851392,1.530692574,6.015857904,-0.504119474,-0.134033682,0.129389492,0.06908827,-1.643339238,-0.718820783,0.131785827,0.113945665,-3.953256576,4.268188
4.042632818,-4.041443141,0.230640773,1.529349768,6.037878804,-0.505274252,-0.161136764,0.123455326,0.070892891,-1.641430816,-0.712100011,0.216554509,0.229010582,-4.478039117,4.276641846
4.051036835,-3.990861514,0.226321608,1.527854717,6.069795291,-0.518299735,-0.179406153,0.118947061,0.071635032,-1.641605512,-0.540991773,0.089056918,-0.020963443,-7.992207078,4.284250975
4.059259892,-3.940023378,0.222060764,1.52606599,6.100576364,-0.511301355,-0.214647168,0.115765634,0.073498123,-1.640730556,-0.38177121,0.223570938,0.104994736,-7.73397619,4.292971849
4.067655802,-3.889697932,0.217585765,1.524300361,6.039053527,-0.536999812,-0.211875509,0.112869827,0.075357326,-1.641048743,-0.34749691,0.223104338,-0.038182466,-19,4.302126884
4.075610876,-3.838575437,0.213108412,1.522224467,6.134699331,-0.537282383,-0.249107329,0.110969164,0.078646267,-1.640074762,-0.228079506,0.394672922,0.116877738,-10.09852467,4.310311794
4.08471179,-3.787742569,0.20847394,1.520055832,6.099944218,-0.556136701,-0.260236181,0.109007471,0.080540464,-1.641607334,-0.23540313,0.227303684,-0.183908638,-13.99912501,4.318158865
4.092382908,-3.737082895,0.204028526,1.517741707,6.079160773,-0.533449581,-0.277695038,0.107831646,0.08331884,-1.639895117,-0.141098978,0.333405145,0.205466046,-15.48382618,4.326861858
4.101163864,-3.686094969,0.199371546,1.51532684,6.118551132,-0.558837637,-0.289783948,0.108364812,0.085201848,-1.641228062,0.063979838,0.22596084,-0.159953416,-17.69806999,4.334765911
4.109113932,-3.635467815,0.194419284,1.512680744,6.075258543,-0.594271421,-0.317531558,0.108937106,0.086375786,-1.643795542,0.068675264,0.140872623,-0.308097617,-15.72785744,4.342836857
4.117249966,-3.584518689,0.189552989,1.509975323,6.113895135,-0.583955426,-0.32465054,0.111736467,0.088813609,-1.644841461,0.335923323,0.292538758,-0.125510238,1.152893716,4.35136795
4.125999928,-3.533422886,0.184777557,1.507141304,6.131496358,-0.573051909,-0.340082296,0.11502974,0.091096541,-1.645624572,0.395192841,0.273951787,-0.093973361,-18.10561917,4.359426022
4.134594917,-3.481648246,0.179924121,1.50419494,6.212956815,-0.582412255,-0.353563611,0.119912473,0.093569919,-1.646550194,0.585927941,0.29680545,-0.111074627,-18.72705726,4.368088961
4.142107964,-3.392768776,0.191743183,1.485533616,10.66553639,1.41828742,-2.239358921,0.125366526,0.097732179,-1.643769545,0.654486283,0.499471216,0.333677881,-18.40473121,4.376115799
4.150828838,-3.341225053,0.186664433,1.482531318,6.185246739,-0.609449999,-0.360275721,0.130219192,0.099044811,-1.644750072,0.58231996,0.157515763,-0.117663216,-16.4404023,4.384926796
4.158955812,-3.28959501,0.181497724,1.479510465,6.195605097,-0.6200051,-0.362502373,0.135526312,0.099155338,-1.646555946,0.63685442,0.01326326,-0.216704894,-15.94354367,4.393100977
4.167552948,-3.237954641,0.176327296,1.476444127,6.196844313,-0.620451342,-0.367960571,0.140336443,0.09917107,-1.647403742,0.57721574,0.001887885,-0.10173556,-16.22668491,4.401189804
4.176081896,-3.186823891,0.170751558,1.473645792,6.135689998,-0.669088578,-0.335800169,0.146051903,0.09915529,-1.648209598,0.685855171,-0.001893689,-0.096702708,-14.77165053,4.409606934
4.184423923,-3.172881343,0.149179965,1.485961618,1.673105816,-2.588591173,1.477899065,0.149978719,0.096048474,-1.65261727,0.471217892,-0.372817878,-0.528920614,-10.0865874,4.417586803
4.192595005,-3.121068124,0.143865104,1.483099021,6.217586276,-0.637783315,-0.343511574,0.154255741,0.095878084,-1.652677607,0.513242643,-0.020446783,-0.007240418,-9.503224056,4.426380873
4.200992823,-3.069330839,0.114361494,1.477014048,6.208474229,-3.540433149,-0.730196829,0.215507213,-0.125646172,1.652775883,7.350176722,-26.58291076,396.6544188,-12.11131328,4.435076952
4.209004879,-3.017785215,0.146679685,1.463949744,6.185474862,3.878182911,-1.567716501,0.147894439,0.105462148,-1.668049181,-8.11353292,27.73299848,-398.4990077,-3.589917707,4.442850828
4.217691898,-2.965615748,0.141810987,1.461505645,6.260336018,-0.584243806,-0.293291843,0.152421638,0.09968318,-1.662303175,0.543263894,-0.693476189,0.689520695,-6.393722437,4.451393843
4.22555995,-2.912939992,0.137072153,1.45959267,6.32109067,-0.568660007,-0.229557012,0.154007869,0.096594912,-1.660813759,0.190347704,-0.370592169,0.178729946,-4.708795627,4.459762812
4.234321833,-2.859923216,0.115619117,1.469792725,6.362013198,-2.574364349,1.224006607,0.168791204,0.0907491,-1.654349749,1.774000218,-0.701497444,0.775681125,-6.391960318,4.468058825
4.242244005,-2.807670739,0.085684829,1.464263819,6.270297242,-3.592114582,-0.66346871,0.226708112,-0.11973315,1.652970595,6.950028938,-25.25786997,396.8784412,-2.398579111,4.476523876
4.251318932,-2.754707669,0.079690474,1.461845802,6.355568347,-0.719322578,-0.290162098,0.225979672,-0.11959864,1.652131811,-0.087412778,0.016141215,-0.100654073,-4.758252186,4.485719919
4.259533882,-2.70197629,0.073464659,1.459528154,6.327765456,-0.747097765,-0.278117662,0.223003181,-0.118689677,1.65183427,-0.357178937,0.109075494,-0.035704889,-1.296567066,4.493811846
4.267742872,-2.64918797,0.067221525,1.457489135,6.334598456,-0.749176058,-0.244682383,0.22120147,-0.117692002,1.652019805,-0.216205314,0.119721058,0.022264167,0.490185323,4.502225876
4.27620697,-2.59612148,0.060847404,1.455512745,6.367978823,-0.764894543,-0.237166734,0.219140617,-0.116499417,1.651574137,-0.247302378,0.143110099,-0.053480167,-1.951176447,4.509943962
4.283880949,-2.542730468,0.054450334,1.453349469,6.406921446,-0.767648406,-0.259593101,0.214523947,-0.116844878,1.650639409,-0.554000343,-0.041455242,-0.112167338,2.645440108,4.518495798
4.292685986,-2.48934077,0.047856315,1.451188601,6.406763734,-0.791282367,-0.259304241,0.210291327,-0.116828869,1.650113891,-0.507914433,0.001921106,-0.063062171,19,4.527169943
4.301265001,-2.436593581,0.077681274,1.435886176,6.329662704,3.578995186,-1.836290966,0.126425269,0.100402181,-1.669155812,-10.06392699,26.06772594,-398.3123644,13.67682391,4.53467679
4.309875965,-2.383509686,0.071488173,1.433920205,6.370067315,-0.74317211,-0.2359165,0.124053715,0.098203205,-1.666447592,-0.284586488,-0.263877074,0.324986499,4.069238138,4.542740822
4.317708969,-2.329955629,0.064001195,1.430970309,6.426486923,-0.89843745,-0.353987467,0.118628377,0.098793692,-1.667731248,-0.651040504,0.070858419,-0.154038747,5.273705386,4.550894022
4.326345921,-2.276254914,0.057122566,1.428456364,6.444085701,-0.82543542,-0.301673448,0.112480574,0.099975729,-1.667647679,-0.737736446,0.141844463,0.01002826,3.883314766,4.559643984
4.334408998,-2.222449743,0.050165463,1.425747824,6.456620605,-0.834852417,-0.325024864,0.104886094,0.101786696,-1.667343422,-0.911337506,0.217316067,0.036510791,1.631467311,4.568437815
4.342573881,-2.168603417,0.043653188,1.423377885,6.461559124,-0.781473021,-0.284392601,0.099186546,0.104010249,-1.666151634,-0.683945848,0.266826276,0.143014593,0.551623946,4.576095819
4.350620985,-2.113483848,0.024730439,1.437600346,6.614348218,-2.270729798,1.706695281,0.111847108,0.101557901,-1.648690151,1.51926745,-0.294281776,2.095377981,0.334086116,4.584448814
4.358974934,-2.059279771,0.017760672,1.434582145,6.504489266,-0.83637208,-0.362184129,0.103943979,0.104534689,-1.648229449,-0.948375409,0.35721465,0.055284271,-0.61411941,4.593472004
4.367641926,-2.005268749,0.010743976,1.431307365,6.481322576,-0.842003481,-0.392973521,0.095785216,0.105255984,-1.649170134,-0.979051631,0.086555332,-0.112882299,-2.019846666,4.600744009
4.375764847,-1.950686629,0.003841254,1.427696451,6.549854411,-0.828326618,-0.433309759,0.088194713,0.107779317,-1.649031042,-0.910860288,0.302800021,0.016691155,-4.379119762,4.609481812
4.384322882,-1.89673349,-0.003166459,1.424056431,6.474376764,-0.840925572,-0.436802387,0.082259934,0.109180512,-1.649377671,-0.712173531,0.168143312,-0.04159552,-4.224965405,4.61844182
4.392608881,-1.841951876,-0.010108723,1.419901396,6.573793602,-0.833071783,-0.498604168,0.076925505,0.1105235,-1.649353739,-0.640131497,0.161158666,0.002871843,-5.205792288,4.626502991
4.400749922,-1.787454572,-0.016987931,1.415578789,6.53967655,-0.825504934,-0.518712816,0.071494671,0.111120214,-1.650712377,-0.651700035,0.071605613,-0.163036532,-6.746947095,4.634552956
